FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
164878,AB,DF1-030-90,1990,7,8,1,N,Ground, 
164879,AB,DF1-031-90,1990,7,9,0.1,N,Surface, 
164880,AB,DF1-033-90,1990,7,9,0.5,N,Ground, 
164881,AB,DF1-038-90,1990,7,12,1,N,Surface, 
164882,AB,DF1-039-90,1990,7,13,0.2,N,Ground, 
164883,AB,DF1-040-90,1990,7,13,0.5,N,Ground, 
164884,AB,DF1-041-90,1990,7,13,0.8,N,Ground, 
164885,AB,DF1-043-90,1990,7,12,33,H,Ground, 
164886,AB,DF1-045-90,1990,7,26,0.1,N,Ground, 
164887,AB,DF1-046-90,1990,7,26,0.5,N,Ground, 
164888,AB,DF1-047-90,1990,7,26,0.1,N,Ground, 
164889,AB,DF1-048-90,1990,7,26,2,N,Ground, 
164890,AB,DF1-049-90,1990,7,26,0.1,N,Surface, 
164891,AB,DF1-050-90,1990,7,27,3,N,Surface, 
164892,AB,DF1-051-90,1990,7,26,0.2,N,Surface, 
164893,AB,DF1-055-90,1990,7,30,0.5,N,Crown, 
164894,AB,DF1-056-90,1990,7,26,0.2,N,Ground, 
164895,AB,DF1-062-90,1990,7,31,0.1,N,Surface, 
164896,AB,DF1-068-90,1990,7,31,0.1,N,Surface, 
164897,AB,DF1-069-90,1990,7,31,0.2,N,Ground, 
164898,AB,DF1-071-90,1990,7,31,0.2,N,Surface, 
164899,AB,DF1-072-90,1990,7,31,0.1,N,Surface, 
164900,AB,DF1-073-90,1990,8,3,0.5,N,Surface, 
164901,AB,DF1-074-90,1990,7,31,0.1,N,Ground, 
164902,AB,DF1-080-90,1990,7,31,0.3,N,Ground, 
164903,AB,DF1-084-90,1990,8,12,1,N,Crown, 
164904,AB,DF1-085-90,1990,8,12,0.2,N,Surface, 
164905,AB,DF1-088-90,1990,8,12,0.1,N,Surface, 
164906,AB,DF1-089-90,1990,8,12,1.5,N,Surface, 
164907,AB,DF1-090-90,1990,8,12,0.1,N,Surface, 
164908,AB,DF1-091-90,1990,8,12,0.1,N,Surface, 
164909,AB,DF1-092-90,1990,8,12,0.1,N,Surface, 
164910,AB,DF1-093-90,1990,8,12,0.1,N,Surface, 
164911,AB,DF1-097-90,1990,8,14,0.1,N,Ground, 
164912,AB,DF1-099-90,1990,8,21,0.1,N,Surface, 
164913,AB,DF1-100-90,1990,8,21,0.1,N,Surface, 
164914,AB,DF1-102-90,1990,8,21,1.5,N,Ground, 
164915,AB,DF1-103-90,1990,8,21,1.5,N,Crown, 
164916,AB,DF1-104-90,1990,8,21,0.7,N,Surface, 
