FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
0,BC,2023-C23369,2023,9,27,0.01,H,Fire,FUL
1,BC,2023-R50580,2023,6,2,1.4,H,Fire,FUL
2,BC,2023-K40937,2023,6,27,0.009,H,Fire,FUL
3,BC,2023-R10108,2023,4,28,1.1,H,Fire,FUL
4,BC,2023-K50058,2023,4,17,0.009,H,Fire,FUL
5,BC,2023-C20133,2023,4,29,1,H,Fire,FUL
6,BC,2023-N50196,2023,5,3,3.5,H,Fire,FUL
7,BC,2023-R10625,2023,6,4,0.2,H,Fire,FUL
8,BC,2023-V30530,2023,4,29,0.04,H,Fire,FUL
9,BC,2023-R20939,2023,6,27,0.1,H,Fire,FUL
10,BC,2023-N42762,2023,8,15,0.5,H,Fire,FUL
11,BC,2023-R13095,2023,8,31,1.67,H,Fire,FUL
12,BC,2023-R50707,2023,6,10,0.1,H,Fire,FUL
13,BC,2023-N13034,2023,8,29,0.6,H,Fire,FUL
14,BC,2023-V72438,2023,8,3,0.009,H,Fire,FUL
15,BC,2023-V63320,2023,9,19,0.009,H,Fire,FUL
16,BC,2023-R23312,2023,9,15,0.35,H,Fire,MON
17,BC,2023-G63267,2023,9,15,0.001,H,Fire,MOD
18,BC,2023-R11124,2023,7,4,0.009,H,Fire,FUL
19,BC,2023-V60346,2023,5,16,0.009,H,Fire,FUL
20,BC,2023-R20947,2023,6,27,0.1,H,Fire,FUL
21,BC,2023-N62301,2023,7,28,0.09,H,Fire,FUL
22,BC,2023-G10471,2023,5,21,0.009,U,Fire,FUL
23,BC,2023-R30248,2023,5,8,0.009,H,Fire,MON
24,BC,2023-V90779,2023,6,14,7.9,H,Fire,FUL
25,BC,2023-V53204,2023,9,9,44.5,H,Fire,MOD
26,BC,2023-V50296,2023,5,13,0.1,U,Fire,FUL
27,BC,2023-V33341,2023,9,21,1.15,H,Fire,FUL
28,BC,2023-K21148,2023,7,3,16.3,H,Fire,FUL
29,BC,2023-G40677,2023,6,8,0.009,H,Fire,FUL
30,BC,2023-V53157,2023,9,3,0.009,H,Fire,FUL
31,BC,2023-N11368,2023,7,8,0.1,H,Fire,FUL
32,BC,2023-K62575,2023,8,6,15.78,H,Fire,FUL
33,BC,2023-K70278,2023,5,12,0.009,H,Fire,MOD
34,BC,2023-C20095,2023,4,26,4.93,H,Fire,FUL
35,BC,2023-V80523,2023,5,28,0.009,U,Fire,FUL
36,BC,2023-V83234,2023,9,11,0.009,H,Fire,FUL
37,BC,2023-V90513,2023,5,27,0.009,H,Fire,FUL
38,BC,2023-V80536,2023,5,30,0.009,H,Fire,FUL
39,BC,2023-V82667,2023,8,9,0.009,H,Fire,FUL
40,BC,2023-V72713,2023,8,12,0.009,H,Fire,FUL
41,BC,2023-K20047,2023,4,15,0.715,H,Fire,FUL
42,BC,2023-V62769,2023,8,15,0.2,H,Fire,FUL
43,BC,2022-V12895,2023,3,28,0.009,H,Fire, 
44,BC,2023-K42165,2023,7,22,0.009,H,Fire,FUL
45,BC,2023-V71881,2023,7,19,0.2,H,Fire,FUL
46,BC,2023-C13470,2023,11,21,0.09,H,Fire,FUL
47,BC,2023-V12916,2023,8,22,0.009,H,Fire,MON
48,BC,2023-C13211,2023,9,9,0.009,H,Fire,MON
49,BC,2023-N52337,2023,7,30,0.009,H,Fire,FUL
50,BC,2023-V50176,2023,5,3,0.009,H,Fire,FUL
51,BC,2023-K20029,2023,4,14,3.13,H,Fire,FUL
52,BC,2023-G10224,2023,5,5,1.15,H,Fire,FUL
53,BC,2023-C53184,2023,9,7,1,H,Fire,FUL
54,BC,2023-N70201,2023,5,3,13,H,Fire,FUL
55,BC,2023-V83463,2023,11,2,50,H,Fire,MON
56,BC,2023-N10166,2023,5,2,3,H,Fire,FUL
57,BC,2023-R10185,2023,4,12,3,H,Fire,FUL
58,BC,2022-G32849,2023,1,16,8,H,Fire,FUL
59,BC,2023-R53413,2023,10,9,0.009,H,Fire,FUL
60,BC,2023-R40823,2023,4,20,0.03,H,Fire,FUL
61,BC,2023-R20264,2023,5,10,1.1,H,Fire,FUL
62,BC,2023-V70125,2023,4,26,0.01,H,Fire,FUL
63,BC,2023-N52504,2023,8,5,2,H,Fire,FUL
64,BC,2023-V12545,2023,8,6,0.009,H,Fire,FUL
65,BC,2022-K62903,2023,3,30,4,H,Fire,FUL
66,BC,2022-K62891,2023,3,27,0.2,H,Fire,FUL
67,BC,2022-K62886,2023,3,26,1.1,H,Fire,FUL
68,BC,2023-V71066,2023,7,2,0.009,H,Fire,FUL
69,BC,2023-K43280,2023,9,15,0.009,H,Fire,FUL
70,BC,2023-K22649,2023,8,8,0.009,H,Fire,FUL
71,BC,2023-G43208,2023,9,9,0.009,H,Fire,FUL
72,BC,2023-G72792,2023,8,17,0.009,H,Fire,FUL
73,BC,2023-K22979,2023,8,27,0.009,H,Fire,FUL
74,BC,2023-G11803,2023,7,17,0.054,N,Fire,FUL
75,BC,2023-K63277,2023,9,15,0.009,H,Fire,FUL
76,BC,2023-G31264,2023,7,7,0.009,H,Fire,FUL
77,BC,2023-R10260,2023,5,10,0.04,H,Fire,FUL
78,BC,2023-C43401,2023,10,7,0.009,H,Fire,FUL
79,BC,2023-V50516,2023,5,28,0.009,H,Fire,FUL
80,BC,2023-V72316,2023,7,29,0.2,H,Fire,FUL
81,BC,2023-K20270,2023,5,11,0.009,H,Fire,FUL
82,BC,2023-G80528,2023,5,29,0.04,H,Fire,FUL
83,BC,2023-V31374,2023,7,9,0.9,H,Fire,FUL
84,BC,2023-V32475,2023,8,4,0.009,H,Fire,FUL
85,BC,2023-R40336,2023,5,15,0.009,H,Fire,FUL
86,BC,2023-G70820,2023,6,18,0.009,H,Fire,FUL
87,BC,2023-V11777,2023,7,16,0.3,H,Fire,FUL
88,BC,2023-V11694,2023,7,14,0.009,H,Fire,FUL
89,BC,2023-K22468,2023,8,4,0.009,H,Fire,FUL
90,BC,2023-V80574,2023,6,2,1.25,H,Fire,FUL
91,BC,2023-G73284,2023,9,15,0.7,H,Fire,FUL
92,BC,2023-V72045,2023,7,21,0.009,H,Fire,FUL
93,BC,2023-N11498,2023,7,10,0.8,H,Fire,FUL
94,BC,2023-V13342,2023,9,21,0.009,H,Fire,FUL
95,BC,2023-K52813,2023,8,18,2043.8,H,Fire,FUL
96,BC,2023-K50113,2023,4,27,0.009,H,Fire,FUL
97,BC,2023-R52842,2023,8,18,0.009,H,Fire,FUL
98,BC,2023-V11616,2023,7,12,0.3,H,Fire,FUL
99,BC,2023-V11965,2023,7,20,0.2,H,Fire,FUL
100,BC,2023-V13235,2023,9,11,0.02,H,Fire,FUL
101,BC,2023-K20063,2023,4,19,0.9,H,Fire,FUL
102,BC,2023-V73334,2023,9,21,0.01,H,Fire,FUL
103,BC,2023-R52919,2023,8,22,0.1,H,Fire,FUL
104,BC,2023-K50563,2023,6,2,0.009,H,Fire,FUL
105,BC,2023-K50660,2023,6,7,0.1,H,Fire,FUL
106,BC,2023-R10502,2023,5,25,0.009,H,Fire,FUL
107,BC,2023-G30550,2023,5,31,0.009,H,Fire,FUL
108,BC,2023-G50540,2023,5,30,0.5,H,Fire,FUL
109,BC,2023-R50744,2023,6,11,0.3,H,Fire,FUL
110,BC,2023-V92832,2023,8,18,0.009,H,Fire,MOD
111,BC,2023-V93356,2023,9,24,0.009,N,Fire,MOD
112,BC,2023-G40090,2023,4,26,0.009,H,Fire,FUL
113,BC,2023-G12061,2023,7,21,0.009,H,Fire,FUL
114,BC,2023-N22839,2023,8,18,0.009,H,Fire,FUL
115,BC,2023-K62314,2023,7,29,0.6,H,Fire,FUL
116,BC,2023-V80778,2023,6,14,0.009,H,Fire,FUL
117,BC,2023-V12984,2023,8,27,28,H,Fire,FUL
118,BC,2023-V32863,2023,8,20,0.009,H,Fire,FUL
119,BC,2023-N70307,2023,5,14,0.03,H,Fire,FUL
120,BC,2023-G43273,2023,9,15,0.009,H,Fire,FUL
121,BC,2023-V80780,2023,6,14,0.01,H,Fire,FUL
122,BC,2023-V70525,2023,5,28,0.009,H,Fire,FUL
123,BC,2023-G93345,2023,9,21,9.68,H,Fire,FUL
124,BC,2023-K62297,2023,7,28,0.009,H,Fire,FUL
125,BC,2023-V30620,2023,6,4,0.2,H,Fire,FUL
126,BC,2023-R40178,2023,5,3,0.009,H,Fire,FUL
127,BC,2023-K20983,2023,6,26,0.009,H,Fire,FUL
128,BC,2023-R30075,2023,4,21,0.009,H,Fire,FUL
129,BC,2023-R20685,2023,6,8,0.1,H,Fire,FUL
130,BC,2023-N13465,2023,11,4,0.009,H,Fire,FUL
131,BC,2023-C50031,2023,4,14,16.4,H,Fire,FUL
132,BC,2023-V80498,2023,5,25,0.009,H,Fire,FUL
133,BC,2023-C50100,2023,4,27,209,H,Fire,FUL
134,BC,2023-R20242,2023,5,6,0.6,H,Fire,FUL
135,BC,2023-R10368,2023,5,18,0.5,H,Fire,FUL
136,BC,2023-C23464,2023,11,1,0.8,H,Fire,FUL
137,BC,2023-N10149,2023,4,30,0.2,H,Fire,FUL
138,BC,2022-K22890,2023,3,27,0.21,H,Fire,FUL
139,BC,2023-G33477,2023,12,4,0.009,H,Fire,FUL
140,BC,2023-R90373,2023,5,14,0.1,H,Fire,MOD
141,BC,2023-C50023,2023,4,10,10.4,H,Fire, 
142,BC,2023-R12656,2023,8,8,1.1,H,Fire,FUL
143,BC,2023-R10202,2023,5,4,0.6,H,Fire,FUL
144,BC,2023-G40218,2023,3,27,0.2,H,Fire,FUL
145,BC,2023-R10344,2023,5,16,17,H,Fire,FUL
146,BC,2023-K50607,2023,6,3,0.009,H,Fire,FUL
147,BC,2023-G13407,2023,10,8,0.009,H,Fire,FUL
148,BC,2023-N12330,2023,7,29,0.009,H,Fire,FUL
149,BC,2023-G40745,2023,6,12,0.009,H,Fire,FUL
150,BC,2023-G50126,2023,4,29,0.2,H,Fire,FUL
151,BC,2023-R50944,2023,6,27,0.03,H,Fire,FUL
152,BC,2023-G40097,2023,4,26,0.41,H,Fire,FUL
153,BC,2023-V10331,2023,5,15,1,H,Fire,FUL
154,BC,2023-C10096,2023,4,26,0.009,H,Fire,MOD
155,BC,2023-G70141,2023,4,29,4,H,Fire,FUL
156,BC,2023-N10598,2023,6,3,0.045,H,Fire,FUL
157,BC,2023-V30293,2023,5,13,38,H,Fire,FUL
158,BC,2023-K42454,2023,8,3,1,H,Fire,FUL
159,BC,2023-K20636,2023,6,5,3.4,H,Fire,FUL
160,BC,2023-V60328,2023,5,15,0.1,H,Fire,FUL
161,BC,2023-G73467,2023,11,3,0.2,H,Fire,MON
162,BC,2023-K23471,2023,11,15,0.08,H,Fire,FUL
163,BC,2023-G10177,2023,5,2,2,H,Fire,FUL
164,BC,2023-N22692,2023,8,11,0.01,H,Fire,FUL
165,BC,2023-C42827,2023,8,18,0.28,H,Fire,FUL
166,BC,2023-K21056,2023,7,1,0.15,H,Fire,FUL
167,BC,2023-G73115,2023,9,1,0.41,H,Fire,FUL
168,BC,2023-K42837,2023,8,18,0.009,H,Fire,FUL
169,BC,2023-R42770,2023,8,15,0.009,N,Fire,FUL
170,BC,2023-K22760,2023,8,14,0.009,H,Fire,FUL
171,BC,2023-V70684,2023,6,8,0.009,H,Fire,FUL
172,BC,2023-K22903,2023,8,22,0,H,Fire,FUL
173,BC,2023-G40208,2023,5,4,0.3,H,Fire,FUL
174,BC,2023-C20082,2023,4,23,10,H,Fire,FUL
175,BC,2023-G13183,2023,9,3,0.1,H,Fire,FUL
176,BC,2023-V80326,2023,5,15,3.84,H,Fire,FUL
177,BC,2023-V80796,2023,6,15,0.01,H,Fire,FUL
178,BC,2023-V80868,2023,6,24,0.9,H,Fire,FUL
179,BC,2023-C50144,2023,4,29,0.1,H,Fire,FUL
180,BC,2023-V70482,2023,5,21,0.009,H,Fire,FUL
181,BC,2023-C51136,2023,7,5,0.1,H,Fire,MOD
182,BC,2023-V71784,2023,7,15,0.99,H,Fire,FUL
183,BC,2023-G80053,2023,4,16,12,H,Fire,FUL
184,BC,2022-V52853,2023,1,22,0.009,H,Fire,FUL
185,BC,2023-V52583,2023,8,6,0.55,H,Fire,FUL
186,BC,2023-V70496,2023,5,23,0.009,H,Fire,FUL
187,BC,2023-C20155,2023,4,30,0.009,H,Fire,MOD
188,BC,2023-G42654,2023,8,8,0.2,H,Fire,FUL
189,BC,2023-V72662,2023,8,9,0.009,H,Fire,FUL
190,BC,2023-V70923,2023,6,26,0.009,H,Fire,FUL
191,BC,2023-C50354,2023,5,17,145,H,Fire,FUL
192,BC,2023-V50556,2023,5,31,1.01,H,Fire,FUL
193,BC,2023-G30210,2023,5,4,1100,H,Fire,FUL
194,BC,2023-C10112,2023,4,28,2.05,H,Fire,FUL
195,BC,2023-C13469,2023,11,16,0.009,H,Fire,MON
196,BC,2023-G70182,2023,4,10,1.09,H,Fire,FUL
197,BC,2023-R11120,2023,7,3,0.009,H,Fire,MOD
198,BC,2023-G80245,2023,5,6,19.1,H,Fire,FUL
199,BC,2023-K20034,2023,4,14,11.5,H,Fire,FUL
200,BC,2023-C50020,2023,4,8,3.8,H,Fire,FUL
201,BC,2023-G12381,2023,7,31,0.2,H,Fire,MON
202,BC,2023-C51597,2023,7,12,0.3,H,Fire,MOD
203,BC,2023-G12529,2023,8,6,0.2,H,Fire,FUL
204,BC,2023-K20791,2023,6,15,0.009,H,Fire,FUL
205,BC,2023-C22652,2023,8,8,0.6,H,Fire,FUL
206,BC,2023-C30675,2023,6,8,226,H,Fire,FUL
207,BC,2023-K22458,2023,8,3,0.009,H,Fire,FUL
208,BC,2023-R50575,2023,6,2,0.2,H,Fire,FUL
209,BC,2023-N52723,2023,8,13,1.3,H,Fire,FUL
210,BC,2023-G30570,2023,6,2,0.5,H,Fire,FUL
211,BC,2023-G80609,2023,6,4,0.009,H,Fire,FUL
212,BC,2023-V12404,2023,8,1,0.1,H,Fire,FUL
213,BC,2023-R50682,2023,6,8,0.1,H,Fire,FUL
214,BC,2023-C43435,2023,10,16,1.64,H,Fire,MOD
215,BC,2023-N40726,2023,6,10,8,H,Fire,FUL
216,BC,2023-G33441,2023,10,24,0.2,H,Fire,MON
217,BC,2023-C40003,2023,4,4,0.009,H,Fire,MOD
218,BC,2023-K50004,2023,4,4,0.5,H,Fire,FUL
219,BC,2023-C43433,2023,10,16,0.27,H,Fire,MOD
220,BC,2023-V30337,2023,5,16,0.1,H,Fire,FUL
221,BC,2023-K20400,2023,5,19,0.8,H,Fire,FUL
222,BC,2023-V50205,2023,4,19,1.2,H,Fire,FUL
223,BC,2023-V50198,2023,4,19,1.36,U,Fire,FUL
224,BC,2023-K20103,2023,4,27,2.3,H,Fire,FUL
225,BC,2023-R33451,2023,10,18,0.1,H,Fire,MOD
226,BC,2023-G83325,2023,9,20,0.1,H,Fire,FUL
227,BC,2023-R30467,2023,5,21,1.5,H,Fire,FUL
228,BC,2023-V33221,2023,9,10,0.02,H,Fire,FUL
229,BC,2023-C41898,2023,7,19,0.23,H,Fire,FUL
230,BC,2023-V60581,2023,6,3,0.02,H,Fire,FUL
231,BC,2023-G40363,2023,5,18,0.01,H,Fire,FUL
232,BC,2023-N20225,2023,5,4,0.1,H,Fire,FUL
233,BC,2023-C43361,2023,9,25,0.009,H,Fire,FUL
234,BC,2023-N72848,2023,8,18,0.009,H,Fire,FUL
235,BC,2023-K40541,2023,5,31,4.27,H,Fire,FUL
236,BC,2023-R10091,2023,4,26,0.6,H,Fire,FUL
237,BC,2023-V30816,2023,6,17,0.009,H,Fire,MOD
238,BC,2023-VA3096,2023,8,30,0.009,H,Fire,FUL
239,BC,2023-C40345,2023,5,16,0.2,H,Fire,FUL
240,BC,2023-K41521,2023,7,10,0.3,H,Fire,FUL
241,BC,2023-R13265,2023,9,15,0.04,H,Fire,FUL
242,BC,2023-G83114,2023,9,1,0.64,H,Fire,FUL
243,BC,2023-V10304,2023,5,14,0.4,H,Fire,FUL
244,BC,2023-K53227,2023,9,11,4.5,H,Fire,FUL
245,BC,2023-N42780,2023,8,16,0.3,H,Fire,FUL
246,BC,2023-R11052,2023,7,1,0.009,H,Fire,FUL
247,BC,2023-G40503,2023,5,26,0.009,H,Fire,FUL
248,BC,2023-G30256,2023,5,10,0.009,H,Fire,FUL
249,BC,2023-V50557,2023,6,1,0.03,H,Fire,FUL
250,BC,2023-G50297,2023,5,13,1.2,H,Fire,FUL
251,BC,2023-V50584,2023,6,3,0.001,H,Fire,FUL
252,BC,2023-G42671,2023,8,9,0.009,H,Fire,FUL
253,BC,2023-V70924,2023,6,26,0.009,H,Fire,FUL
254,BC,2023-G80076,2023,4,21,1.6,H,Fire,FUL
255,BC,2023-V70263,2023,5,10,0.36,H,Fire,FUL
256,BC,2023-V70919,2023,6,26,0.13,H,Fire,FUL
257,BC,2023-C50811,2023,6,16,0.009,H,Fire,FUL
258,BC,2022-C52899,2023,3,29,0.009,U,Fire,FUL
259,BC,2023-R23388,2023,10,2,0.009,H,Fire,FUL
260,BC,2023-V10317,2023,5,14,0.009,H,Fire,FUL
261,BC,2023-V53405,2023,10,7,1.5,H,Fire,FUL
262,BC,2023-R22958,2023,8,25,1.65,H,Fire,FUL
263,BC,2023-N73311,2023,9,18,0.3,H,Fire,FUL
264,BC,2023-G80035,2023,4,14,62,H,Fire,FUL
265,BC,2023-G80051,2023,4,16,0.2,H,Fire,FUL
266,BC,2023-G90833,2023,6,21,0.491,H,Fire,FUL
267,BC,2023-C33439,2023,10,23,0.009,H,Fire,FUL
268,BC,2023-K20102,2023,4,27,0.2,H,Fire,MON
269,BC,2023-G80164,2023,5,1,4,H,Fire,FUL
270,BC,2022-K22885,2023,3,26,2.72,H,Fire,FUL
271,BC,2023-G80120,2023,4,28,2,H,Fire,FUL
272,BC,2023-V70001,2023,4,1,2.5,H,Fire,FUL
273,BC,2023-G80052,2023,4,16,2,H,Fire,FUL
274,BC,2023-C53271,2023,9,15,0.009,H,Fire,FUL
275,BC,2023-R40247,2023,5,7,0.48,H,Fire,FUL
276,BC,2023-R40219,2023,5,5,0.2,H,Fire,FUL
277,BC,2023-V10690,2023,6,9,0.06,H,Fire,FUL
278,BC,2023-V81105,2023,7,3,2,H,Fire,FUL
279,BC,2023-G32698,2023,8,10,0.009,H,Fire,FUL
280,BC,2023-K50032,2023,4,14,0.5,H,Fire,FUL
281,BC,2023-G70412,2023,5,19,4,H,Fire,FUL
282,BC,2023-G80267,2023,4,19,0.866,H,Fire,FUL
283,BC,2023-G80117,2023,4,28,50,H,Fire,MON
284,BC,2023-R51134,2023,7,4,0.3,H,Fire,FUL
285,BC,2023-V73310,2023,9,17,0.3,H,Fire,FUL
286,BC,2023-V80793,2023,6,15,0.002,H,Fire,FUL
287,BC,2023-C50191,2023,5,3,0.4,H,Fire,FUL
288,BC,2023-C50188,2023,5,3,0.09,U,Fire,FUL
289,BC,2023-K40216,2023,5,5,11,H,Fire,FUL
290,BC,2023-V32278,2023,7,22,0.05,H,Fire,FUL
291,BC,2023-V30960,2023,6,27,0.009,H,Fire,FUL
292,BC,2023-V31049,2023,6,30,0.009,H,Fire,FUL
293,BC,2023-K21042,2023,7,1,0.2,H,Fire,FUL
294,BC,2023-V10512,2023,5,27,0.009,H,Fire,FUL
295,BC,2023-G71775,2023,7,15,0.21,N,Fire,FUL
296,BC,2023-R52946,2023,8,25,0.009,H,Fire,FUL
297,BC,2023-V33166,2023,9,5,0.009,H,Fire,FUL
298,BC,2023-R50576,2023,6,2,0.009,H,Fire,FUL
299,BC,2023-V10048,2023,4,15,0.009,H,Fire,FUL
300,BC,2023-V73057,2023,8,28,0.009,H,Fire,FUL
301,BC,2023-V80514,2023,5,27,0.009,H,Fire,FUL
302,BC,2023-V33422,2023,10,14,0.009,H,Fire,FUL
303,BC,2023-G93351,2023,9,23,0.009,H,Fire,FUL
304,BC,2023-V11688,2023,7,14,0.5,H,Fire,FUL
305,BC,2023-V63300,2023,9,17,0.009,H,Fire,FUL
306,BC,2023-K40922,2023,6,25,0.009,H,Fire,FUL
307,BC,2022-V12901,2023,3,30,14.6,U,Fire,FUL
308,BC,2023-N13394,2023,10,4,0.009,H,Fire,FUL
309,BC,2023-V10597,2023,6,3,0.9,U,Fire,FUL
310,BC,2023-V80681,2023,6,8,0.46,H,Fire,FUL
311,BC,2023-G42333,2023,7,30,0.009,H,Fire,FUL
312,BC,2023-V10500,2023,5,25,0.009,H,Fire,FUL
313,BC,2023-G70226,2023,1,1,3.4,H,Fire,FUL
314,BC,2023-G10065,2023,4,20,16.5,H,Fire,FUL
315,BC,2023-V73355,2023,9,24,0.009,H,Fire,MOD
316,BC,2023-G70168,2023,4,30,1,H,Fire,FUL
317,BC,2023-G33370,2023,9,27,0.009,H,Fire,MON
318,BC,2023-C13287,2023,9,15,0.19,H,Fire,FUL
319,BC,2023-V60282,2023,5,11,0.7,H,Fire,FUL
320,BC,2023-V62098,2023,7,22,0.009,H,Fire,FUL
321,BC,2023-V63304,2023,9,17,0.009,H,Fire,FUL
322,BC,2023-VA0566,2023,6,1,0.009,H,Fire,FUL
323,BC,2023-V60840,2023,6,22,0.009,H,Fire,FUL
324,BC,2023-K40529,2023,5,27,0.009,H,Fire,FUL
325,BC,2023-V50257,2023,5,9,0.05,H,Fire,FUL
326,BC,2023-K50756,2023,6,12,0.009,H,Fire,FUL
327,BC,2023-V31141,2023,7,4,21,H,Fire,FUL
328,BC,2023-V10618,2023,6,4,78,H,Fire,FUL
329,BC,2023-V11152,2023,7,4,215,H,Fire,MOD
330,BC,2023-V10588,2023,6,3,767.2,H,Fire,MOD
331,BC,2023-R40749,2023,6,12,0.74,H,Fire,FUL
332,BC,2023-N20349,2023,5,16,0.009,H,Fire,FUL
333,BC,2023-G73327,2023,9,20,0.13,H,Fire,MON
334,BC,2023-K50276,2023,5,12,0.009,H,Fire,FUL
335,BC,2023-G82888,2023,8,21,0.009,H,Fire,FUL
336,BC,2023-G70243,2023,5,6,1.69,H,Fire,FUL
337,BC,2023-V61092,2023,7,2,0.25,H,Fire,FUL
338,BC,2023-G10236,2023,5,5,0.2,H,Fire,FUL
339,BC,2023-G80295,2023,5,13,0.76,H,Fire,FUL
340,BC,2023-G73244,2023,9,13,0.009,H,Fire,FUL
341,BC,2023-G83275,2023,9,15,0.009,H,Fire,FUL
342,BC,2023-V82797,2023,8,17,1.9,H,Fire,FUL
343,BC,2023-V83232,2023,9,11,0.009,N,Fire,FUL
344,BC,2023-G73243,2023,9,13,0.5,H,Fire,FUL
345,BC,2023-R30687,2023,6,8,0.5,H,Fire,FUL
346,BC,2023-K51840,2023,7,17,4.08,H,Fire,FUL
347,BC,2023-G71046,2023,7,1,0.15,H,Fire,FUL
348,BC,2023-G83117,2023,9,1,0.009,H,Fire,FUL
349,BC,2023-VA2708,2023,8,12,0.009,H,Fire,FUL
350,BC,2023-C20093,2023,4,26,60,H,Fire,FUL
351,BC,2023-N40538,2023,5,30,0.009,H,Fire,FUL
352,BC,2023-R20089,2023,4,25,0.2,H,Fire,FUL
353,BC,2023-V72775,2023,8,16,0.1,H,Fire,FUL
354,BC,2023-G72928,2023,8,23,0.009,H,Fire,FUL
355,BC,2023-VA0784,2023,6,14,0.09,H,Fire,FUL
356,BC,2023-G30213,2023,5,4,0.009,H,Fire,FUL
357,BC,2023-VA2806,2023,8,17,0.009,N,Fire,FUL
358,BC,2023-G10221,2023,5,5,0.25,H,Fire,FUL
359,BC,2023-G40676,2023,6,8,0.009,H,Fire,FUL
360,BC,2023-G12745,2023,8,13,0.009,H,Fire,FUL
361,BC,2023-G70356,2023,5,17,1.4,H,Fire,FUL
362,BC,2023-G71572,2023,7,11,0.95,H,Fire,FUL
363,BC,2023-G70241,2023,5,6,2,H,Fire,FUL
364,BC,2023-V12712,2023,8,12,0.009,H,Fire,FUL
365,BC,2023-G80826,2023,6,19,0.2,H,Fire,FUL
366,BC,2023-V50994,2023,6,28,0,H,Fire,FUL
367,BC,2023-V32972,2023,8,26,0.009,H,Fire,FUL
368,BC,2023-K62759,2023,8,14,4,H,Fire,FUL
369,BC,2023-K21432,2023,7,9,0.1,H,Fire,FUL
370,BC,2023-G13220,2023,9,9,0.009,H,Fire,FUL
371,BC,2023-N10281,2023,5,12,9.98,H,Fire,FUL
372,BC,2023-V81044,2023,7,1,0.04,H,Fire,FUL
373,BC,2023-K60674,2023,6,8,0.009,H,Fire,FUL
374,BC,2023-K60672,2023,6,8,0.009,H,Fire,FUL
375,BC,2023-V13297,2023,9,17,0.19,H,Fire,FUL
376,BC,2023-K41395,2023,7,9,0.6,H,Fire,FUL
377,BC,2023-G83324,2023,9,20,0.5,H,Fire,FUL
378,BC,2023-N13364,2023,9,26,0.009,H,Fire,FUL
379,BC,2023-K43390,2023,10,3,0.009,H,Fire,FUL
380,BC,2023-G93461,2023,10,26,0.2,H,Fire,FUL
381,BC,2023-G90358,2023,5,15,0,H,Fire,MOD
382,BC,2023-C53447,2023,10,25,0.009,H,Fire,FUL
383,BC,2023-C23448,2023,10,20,0.009,H,Fire,FUL
384,BC,2023-K72685,2023,8,8,0.45,H,Fire,FUL
385,BC,2023-G42501,2023,8,5,0.009,H,Fire,MON
386,BC,2023-G30404,2023,5,19,0.009,H,Fire,FUL
387,BC,2023-R40943,2023,6,27,0.1,H,Fire,FUL
388,BC,2023-G30078,2023,4,22,0.2,H,Fire,FUL
389,BC,2023-G30258,2023,5,10,0.5,H,Fire,FUL
390,BC,2023-N70284,2023,5,12,0.009,H,Fire,FUL
391,BC,2023-K20627,2023,6,5,1.6,H,Fire,FUL
392,BC,2023-G93201,2023,9,7,0.009,H,Fire,FUL
393,BC,2023-C53000,2023,8,28,0.009,H,Fire,MOD
394,BC,2023-V70429,2023,5,19,0.009,H,Fire,FUL
395,BC,2023-V61110,2023,7,2,0.009,H,Fire,FUL
396,BC,2023-N23253,2023,9,13,0.009,H,Fire,FUL
397,BC,2023-V10417,2023,5,19,0.009,H,Fire,FUL
398,BC,2023-K62471,2023,8,4,0.009,H,Fire,FUL
399,BC,2023-R53222,2023,9,10,0.1,H,Fire,FUL
400,BC,2023-K23468,2023,11,13,0.009,H,Fire,FUL
401,BC,2023-V70546,2023,5,31,0.04,H,Fire,FUL
402,BC,2023-V30015,2023,4,5,0.009,H,Fire,FUL
403,BC,2023-V70463,2023,5,21,0.009,H,Fire,FUL
404,BC,2022-K22879,2023,3,23,1.34,H,Fire,FUL
405,BC,2023-V13296,2023,9,17,0.009,H,Fire,FUL
406,BC,2023-V50055,2023,4,16,0.002,H,Fire,FUL
407,BC,2023-V63326,2023,9,20,0.02,H,Fire,FUL
408,BC,2023-K52451,2023,8,3,0.009,H,Fire,FUL
409,BC,2023-V12206,2023,7,23,0.009,H,Fire,FUL
410,BC,2023-V62867,2023,8,20,0.05,H,Fire,FUL
411,BC,2023-V10926,2023,6,26,0.4,H,Fire,FUL
412,BC,2023-V80829,2023,6,20,0.04,H,Fire,FUL
413,BC,2023-V60605,2023,6,4,0.009,H,Fire,FUL
414,BC,2023-V82849,2023,8,19,0.009,H,Fire,FUL
415,BC,2023-V71098,2023,7,2,16.6,H,Fire,FUL
416,BC,2023-K50729,2023,6,11,0.7,H,Fire,FUL
417,BC,2023-V60950,2023,6,25,0.1,H,Fire,FUL
418,BC,2023-N23403,2023,10,7,1.1,H,Fire,FUL
419,BC,2023-V61023,2023,6,30,0.1,H,Fire,FUL
420,BC,2023-C50072,2023,4,21,47.76,H,Fire,MOD
421,BC,2023-G80173,2023,5,2,4,H,Fire,FUL
422,BC,2023-V60367,2023,5,18,0.009,H,Fire,FUL
423,BC,2023-V80157,2023,4,29,0.009,H,Fire,FUL
424,BC,2023-G80121,2023,4,28,4,H,Fire,FUL
