FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1669,BC,56.3322,-121.8242,2023,7,17,2023-07-17,0.009,N,Fire,FUL
1670,BC,51.5061,-118.4585,2023,7,25,2023-07-25,0.009,N,Fire, 
1671,BC,50.1201999999999,-117.6298,2023,7,30,2023-07-30,0.009,N,Fire,FUL
1672,BC,49.9101,-120.5808,2023,6,28,2023-06-28,0.009,N,Fire,FUL
1673,BC,49.7265999999999,-125.672,2023,8,6,2023-08-06,0.009,N,Fire,MON
1674,BC,51.8564,-121.9855,2023,7,29,2023-07-29,0.009,N,Fire,FUL
1675,BC,54.3324,-123.4999,2023,7,25,2023-07-25,0.009,N,Fire,FUL
1676,BC,49.0345999999999,-118.386,2023,5,15,2023-05-15,0.1,N,Fire,FUL
1677,BC,49.3601999999999,-116.2142,2023,7,17,2023-07-17,1457.0,N,Fire,MOD
1678,BC,52.9268,-127.1769,2023,8,28,2023-08-28,48.1,N,Fire,MON
1679,BC,55.8620999999999,-122.0076,2023,6,3,2023-06-03,0.2,N,Fire,FUL
1680,BC,54.2652,-125.996799999999,2023,7,20,2023-07-20,0.5,N,Fire,FUL
1681,BC,53.9341999999999,-122.6444,2023,7,21,2023-07-21,0.009,N,Fire,FUL
1682,BC,50.1223,-117.6449,2023,7,30,2023-07-30,3.6,N,Fire,FUL
1683,BC,50.451,-119.0875,2023,8,21,2023-08-21,1.7,N,Fire,FUL
1684,BC,58.8301999999999,-122.467299999999,2023,6,4,2023-06-04,0.009,N,Fire,FUL
1685,BC,49.6073999999999,-119.2332,2023,8,9,2023-08-09,0.35,N,Fire,FUL
1686,BC,49.5287,-117.3173,2023,7,9,2023-07-09,0.009,N,Fire,FUL
1687,BC,53.3808,-122.8595,2023,8,5,2023-08-05,0.009,N,Fire,FUL
1688,BC,49.7640999999999,-125.7,2023,8,3,2023-08-03,2320.0,N,Fire,MON
1689,BC,49.5775,-119.6808,2023,7,21,2023-07-21,0.2,N,Fire,FUL
1690,BC,50.9437,-116.4795,2023,7,30,2023-07-30,960.0,N,Fire,FUL
1691,BC,52.4635,-125.9786,2023,7,7,2023-07-07,0.52,N,Fire,FUL
1692,BC,50.3078999999999,-122.044,2023,8,24,2023-08-24,480.37,N,Fire,MON
1693,BC,54.2689,-126.0266,2023,7,10,2023-07-10,0.009,N,Fire,FUL
1694,BC,50.5443,-126.5991,2023,8,28,2023-08-28,0.04,N,Fire,MON
1695,BC,49.3172,-118.921899999999,2023,5,18,2023-05-18,3.3,N,Fire,FUL
1696,BC,57.651,-123.604699999999,2023,6,9,2023-06-09,500.0,N,Fire,MON
1697,BC,50.9279,-120.1208,2023,7,20,2023-07-20,0.009,N,Fire,FUL
1698,BC,50.1325,-119.53,2023,8,21,2023-08-21,0.009,N,Fire,FUL
1699,BC,59.8136999999999,-120.7329,2023,6,23,2023-06-23,0.0,N,Fire,MON
1700,BC,50.7419999999999,-117.068299999999,2023,7,30,2023-07-30,519.0,N,Fire,MOD
1701,BC,52.1092,-122.2603,2023,7,11,2023-07-11,0.01,N,Fire,FUL
1702,BC,49.3288,-115.7483,2023,8,4,2023-08-04,0.01,N,Fire,FUL
1703,BC,53.0279999999999,-123.1109,2023,9,25,2023-09-25,0.3,N,Fire,FUL
1704,BC,56.7969,-125.1075,2023,7,13,2023-07-13,23.0,N,Fire,FUL
1705,BC,50.3479,-117.6953,2023,6,30,2023-06-30,0.1,N,Fire,MOD
1706,BC,49.5075999999999,-125.5733,2023,9,2,2023-09-02,1217.09999999999,N,Fire,MON
1707,BC,50.5578,-121.6939,2023,7,7,2023-07-07,0.1,N,Fire,FUL
1708,BC,52.1368999999999,-122.2078,2023,7,9,2023-07-09,0.009,N,Fire,FUL
1709,BC,49.2066999999999,-115.0082,2023,8,6,2023-08-06,1909.0,N,Fire,MON
1710,BC,49.2449999999999,-125.1622,2023,8,28,2023-08-28,0.01,N,Fire,FUL
1711,BC,54.5737999999999,-124.9137,2023,7,21,2023-07-21,0.009,N,Fire,FUL
