FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
146533,BC,55.2486999999999,-122.212,2014,8,16,2014-08-16,0.009,N,Fire, 
146534,BC,53.8196,-120.3238,2014,7,3,2014-07-03,0.9,N,Fire, 
146535,BC,54.3303999999999,-121.3293,2014,7,2,2014-07-02,0.2,N,Fire, 
146536,BC,54.3307,-121.325599999999,2014,7,11,2014-07-11,2.5,N,Fire, 
146537,BC,55.0489999999999,-122.533199999999,2014,7,17,2014-07-17,0.009,N,Fire, 
146538,BC,54.0253999999999,-120.649199999999,2014,8,3,2014-08-03,0.009,N,Fire, 
146539,BC,53.7695999999999,-120.9303,2014,8,8,2014-08-08,0.8,N,Fire, 
146540,BC,53.7779999999999,-120.924899999999,2014,8,8,2014-08-08,0.009,N,Fire, 
146541,BC,53.7573,-120.9277,2013,7,1,2013-07-01,0.009,N,Fire, 
146542,BC,53.8515,-121.0515,2013,7,1,2013-07-01,0.009,N,Fire, 
146543,BC,53.8892,-120.9483,2013,7,1,2013-07-01,0.009,N,Fire, 
146544,BC,53.9048,-120.9383,2013,7,1,2013-07-01,0.009,N,Fire, 
146545,BC,53.8601,-120.9682,2013,7,2,2013-07-02,0.009,N,Fire, 
146546,BC,54.0127999999999,-121.2007,2013,7,1,2013-07-01,0.2,N,Fire, 
146547,BC,53.8337,-120.9006,2013,7,1,2013-07-01,0.009,N,Fire, 
146548,BC,54.2528999999999,-121.7523,2013,7,10,2013-07-10,0.2,N,Fire, 
146549,BC,54.3442999999999,-121.7215,2013,7,25,2013-07-25,0.009,N,Fire, 
146550,BC,54.1447,-121.3103,2013,7,31,2013-07-31,0.009,H,Fire, 
146551,BC,55.0773999999999,-122.1255,2013,7,31,2013-07-31,0.009,N,Fire, 
146552,BC,55.0773,-122.126499999999,2013,7,31,2013-07-31,0.009,N,Fire, 
146553,BC,53.9363999999999,-121.1662,2013,8,1,2013-08-01,0.1,N,Fire, 
